Time,HF kWm2,St I2,St J2,St I,St J
6.269,17.7219405,131.21701,207.27713,147.22153,140.15663
6.299,17.95608065,131.47874,207.5242,147.01593,140.63998
6.329,17.38534486,131.61964,207.59206,146.81912,141.03767
6.359,18.71705761,131.5838,207.47157,146.65739,141.4007
6.389,18.13168883,131.4985,211.5486,146.44193,142.32811
6.419,17.18047069,131.51524,214.79892,146.29463,142.18208
6.449,17.2975469,131.67485,215.78055,146.4133,141.97583
6.479,19.09753996,131.77559,215.97479,146.3929,141.64458
6.509,19.68290874,131.81364,217.32951,146.58955,141.91217
6.539,17.70729523,131.53831,217.08133,146.55063,143.86801
6.569,16.72681111,131.13893,218.6044,146.59964,146.07404
6.599,16.37559475,130.71001,220.92673,147.17847,146.11266
6.629,15.24876844,130.32007,222.18663,147.1772,145.60614
6.659,14.94145105,130.10106,220.71518,147.23807,144.92087
6.689,14.75120988,130.00656,217.62399,147.09776,144.29778
6.719,14.94145105,129.92209,215.63411,147.94217,143.45291
6.749,14.59023469,129.85956,213.85095,148.28229,142.48233
6.779,14.94145105,129.8866,212.32109,148.22026,141.30661
6.809,13.62438356,129.84814,211.25803,148.21368,140.32301
6.839,13.55120633,129.87715,211.32228,147.85825,139.39217
6.869,13.91705568,129.83614,210.77599,147.58464,139.92487
6.899,13.81462474,129.66949,209.39128,147.5843,138.73654
6.929,13.82925773,129.73639,210.75024,147.36427,137.23264
6.959,14.03413189,129.63277,210.42094,147.11502,136.0813
6.989,13.03901478,129.53755,209.62152,146.90686,135.75482
7.019,12.0292524,129.32953,209.64249,147.08984,135.32861
7.049,11.89755547,129.15373,209.73428,146.90739,135.32724
7.079,13.31706618,129.03284,209.85568,146.56609,134.60963
7.109,13.36096516,128.88086,208.87778,146.38086,135.44746
7.139,14.56095643,128.89969,207.94225,146.30875,135.53235
7.169,14.83900783,129.06682,206.95702,146.20992,135.23193
7.199,14.61950068,129.10042,206.89265,146.25822,135.44124
7.229,14.47315848,129.27876,206.26009,146.37019,135.77783
7.259,14.73657689,129.83342,205.17166,146.39751,135.75336
7.289,14.39998124,130.25774,204.40221,146.38426,136.43973
7.319,17.26828092,130.71831,203.6786,146.5378,136.7063
7.349,20.23901154,130.86046,202.40068,146.37556,136.97406
7.379,20.8682793,130.92917,204.85786,146.24684,137.51616
7.409,19.8877829,130.88562,210.53326,146.18796,137.70447
